,name,height,wingspan
721,Yemi Nicholson,6' 7.75'',7' 4.25''
722,David Noel,6' 4.5'',6' 9.5''
723,Steve Novak,6' 8'',6' 9.5''
724,Patrick O'Bryant,6' 11'',7' 5.75''
725,Danilo Pinnock,6' 2.75'',6' 7.5''
726,Chris Quinn,6' 0.5'',6' 5''
727,Allan Ray,6' 1'',6' 8.5''
728,JJ Redick,6' 4'',6' 3.25''
729,Antywane Robinson,6' 6.25'',7' 2.5''
730,Brandon Roy,6' 5.25'',6' 8''
731,Blake Schilb,6' 5.25'',6' 8.75''
732,Mouhamed Sene,6' 11'',7' 8.5''
733,Cedric Simmons,6' 8.25'',7' 4.25''
734,Marcus Slaughter,6' 7'',6' 11.5''
735,Craig Smith,6' 5.5'',6' 9.5''
736,Steven Smith,6' 7.5'',7' 0.5''
737,Michael Southhall,6' 9.5'',7' 4.25''
738,Frans Steyn,7' 1.25'',7' 2.25''
739,Curtis Stinson,6' 1.75'',6' 5''
740,Tyrus Thomas,6' 7.25'',7' 3''
741,Joah Tucker,6' 3.75'',6' 6.5''
742,Ian Vouyoukas,6' 8.5'',7' 0.75''
743,Darius Washington,5' 11.5'',6' 4''
744,CJ Watson,6' 0.5'',6' 6''
745,Eric Williams,6' 7.25'',7' 4.25''
746,Shelden Williams,6' 7.5'',7' 4.25''
747,Shawne Williams,6' 7.25'',7' 3''
748,Marcus Williams,6' 2'',6' 7''
749,Justin Williams,6' 7.25'',7' 1.5''
750,Curtis Withers,6' 6'',6' 10''
751,Tony Allen,6' 3.5'',6' 9''
752,Trevor Ariza,6' 7'',7' 2''
753,Andre Barrett,5' 8.75'',6' 1''
754,Brandon Bass,6' 6.25'',7' 2.5''
756,Tony Bobbitt,6' 2.75'',6' 7''
757,Brian Boddicker,6' 7.5'',6' 10''
758,Tim Bowers,6' 0.5'',6' 9''
759,Andre Brown,6' 8'',6' 11''
760,Antonio Burks,6' 0'',6' 6.5''
761,Jackie Butler,6' 8'',7' 1.5''
762,Aleksandar Capin,6' 0'',6' 1.5''
763,Ales Chan,7' 0'',7' 3''
764,Josh Childress,6' 5.75'',6' 11''
765,TJ Cummings,6' 7.5'',6' 9.5''
766,Erik Daniels,6' 6.25'',6' 11''
767,Luol Deng,6' 7'',7' 0.5''
768,Marcus Douthit,6' 9.5'',7' 4''
769,Chris Duhon,6' 0'',6' 6.5''
770,John Edwards,6' 11.25'',7' 4.5''
771,Andre Emmett,6' 3.5'',6' 9''
772,Desmon Farmer,6' 4.5'',6' 8.5''
773,Luis Flores,6' 0.5'',6' 7.5''
774,Matt Freije,6' 8.25'',7' 1''
775,Chris Garnett,6' 8.25'',7' 1''
776,Ryan Gomes,6' 6.5'',7' 2''
777,Ben Gordon,6' 1'',6' 8.5''
778,Devin Harris,6' 1.75'',6' 7.5''
779,Dwight Howard,6' 9'',7' 4.5''
780,Rolando Howell,6' 7.5'',7' 0.5''
781,Kris Humphries,6' 8.25'',7' 0.5''
782,Andre Iguodala,6' 5.75'',6' 11''
783,Martin Iti,6' 8.5'',7' 5''
784,Luke Jackson,6' 6'',6' 8.5''
785,Al Jefferson,6' 8.5'',7' 2.5''
786,Arthur Johnson,6' 7'',7' 3''
787,Ivan Koljevic,6' 1'',6' 2.5''
788,Herve Lamizana,6' 7.5'',7' 1.5''
789,Sergei Lishouk,6' 10.25'',7' 0''
790,Shaun Livingston,6' 6.25'',6' 11''
791,Jaime Lloreda,6' 6.75'',6' 9.5''
792,Bryant Matthews,6' 5.75'',7' 0.5''
793,Marcus Melvin,6' 6.75'',7' 0''
794,Rich Melzer,6' 7.5'',7' 2''
795,Ricky Minard,6' 3.25'',6' 7''
796,James Moore,6' 6.5'',7' 0.5''
797,Marcus Moore,6' 4'',6' 9''
798,Michel Morandais,6' 3.75'',6' 11.5''
799,Jameer Nelson,5' 11'',6' 2.5''
800,Misan Nikagbatse,6' 3.5'',6' 10''
801,Emeka Okafor,6' 8.75'',7' 4''
802,Randall Orr,6' 9'',6' 10.5''
803,Dylan Page,6' 7.5'',6' 7''
804,Drago Pasalic,6' 9.25'',6' 11.5''
805,Rickey Paulding,6' 2.75'',6' 9.5''
806,Kelvin Pena,6' 2.25'',6' 6.5''
807,Tim Pickett,6' 3'',6' 7.5''
808,Omar Quintero,5' 9.75'',5' 11.5''
809,Peter Ramos,7' 1.75'',7' 5.5''
810,Jared Reiner,6' 10'',7' 0.5''
811,Lawrence Roberts,6' 7.5'',6' 9.5''
812,Bernard Robinson,6' 5.25'',6' 10''
813,Nate Robinson,5' 7.75'',6' 1''
814,Aerick Sanders,6' 6.5'',6' 11.5''
815,Romain Sato,6' 2'',6' 11''
816,Blagota Sekulic,6' 9.25'',6' 11''
817,Josh Smith,6' 7'',7' 0''
818,J.R. Smith,6' 5.5'',6' 10''
819,Kirk Snyder,6' 6'',6' 9''
820,Pape Sow,6' 8.5'',7' 2''
821,Tiago Splitter,6' 10.25'',7' 2''
823,Tom Timmerrmans,6' 10.5'',6' 11''
824,Marko Tomas,6' 6.5'',6' 7''
825,Beno Udrih,6' 2.5'',6' 4.5''
826,Jackson Vroman,6' 9.25'',7' 0''
827,Delonte West,6' 1.5'',6' 6''
828,Damien Wilkins,6' 4.5'',7' 0''
829,Mike Williams,6' 5.5'',6' 11.5''
830,Nate Williams,6' 8.5'',7' 1.5''
831,Rashad Wright,6' 0.5'',6' 10''
832,Quincy Acy,6' 6.5'',7' 2.75''
833,Harrison Barnes,6' 7'',6' 11.25''
834,Will Barton,6' 5'',6' 9.75''
835,Bradley Beal,6' 3.25'',6' 8''
836,J'Covan Brown,6' 1'',6' 5.25''
837,William Buford,6' 4'',6' 9.5''
838,Jae Crowder,6' 4.75'',6' 9.25''
839,Jared Cunningham,6' 3.5'',6' 6.5''
840,Anthony Davis,6' 9.25'',7' 5.5''
841,Marcus Denmon,6' 2.25'',6' 5''
842,Andre Drummond,6' 9.75'',7' 6.25''
843,Kim English,6' 4.5'',6' 6.5''
844,Festus Ezeli,6' 9.75'',7' 5.75''
845,Drew Gordon,6' 8'',6' 11.5''
846,Draymond Green,6' 5.75'',7' 1.25''
847,JaMychal Green,6' 8'',7' 2.25''
848,Maurice Harkless,6' 7.25'',7' 0''
849,John Henson,6' 9'',7' 5''
850,Tu Holloway,5' 10.5'',6' 5.5''
851,Robbie Hummel,6' 7.25'',6' 8.5''
852,Bernard James,6' 8.75'',7' 3''
853,John Jenkins,6' 3.25'',6' 8.5''
854,Orlando Johnson,6' 3.75'',6' 11.25''
855,Darius Johnson-Odom,6' 1.5'',6' 7''
856,Terrence Jones,6' 8.25'',7' 2.25''
857,Perry Jones,6' 10.25'',7' 1.75''
858,Kevin Jones,6' 6.25'',7' 1.5''
859,Kris Joseph,6' 6'',6' 11''
860,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
861,Jeremy Lamb,6' 4'',6' 11''
862,Doron Lamb,6' 3.25'',6' 6.75''
863,Meyers Leonard,6' 11.75'',7' 3''
864,Damian Lillard,6' 1.75'',6' 7.75''
865,Scott Machado,6' 1'',6' 4''
866,Kendall Marshall,6' 3.25'',6' 5.5''
867,Fab Melo,6' 10.75'',7' 2.5''
868,Khris Middleton,6' 6.75'',6' 10.75''
869,Quincy Miller,6' 8.75'',7' 1.25''
870,Darius Miller,6' 6'',6' 9''
871,Tony Mitchell,6' 5.25'',6' 10''
872,Arnett Moultrie,6' 9.5'',7' 2.25''
873,Kevin Murphy,6' 5'',6' 6.75''
874,Andrew Nicholson,6' 8.5'',7' 4''
875,Kyle O'Quinn,6' 8.5'',7' 4.75''
876,Miles Plumlee,6' 10.5'',7' 0.75''
877,Austin Rivers,6' 3.5'',6' 7.25''
878,Thomas Robinson,6' 7.75'',7' 3.25''
879,Terrence Ross,6' 6'',6' 7.25''
880,Tomas Satoransky,6' 6.5'',6' 7.25''
881,Mike Scott,6' 7.25'',6' 10.75''
882,Henry Sims,6' 10'',7' 4''
883,Jared Sullinger,6' 7.75'',7' 1.25''
884,Jordan Taylor,6' 1'',6' 3''
885,Jeff Taylor,6' 6'',6' 6.25''
886,Tyshawn Taylor,6' 2.75'',6' 6.25''
887,Marquis Teague,6' 1'',6' 7.25''
888,Hollis Thompson,6' 6.75'',6' 9.5''
889,Dion Waiters,6' 2.5'',6' 7.25''
890,Royce White,6' 7'',7' 0''
891,Tony Wroten,6' 4.75'',6' 9''
892,Tyler Zeller,6' 11.25'',7' 0''
893,Quincy Acy,6' 6.5'',7' 2.75''
894,Harrison Barnes,6' 7'',6' 11.25''
895,Will Barton,6' 5'',6' 9.75''
896,Bradley Beal,6' 3.25'',6' 8''
897,J'Covan Brown,6' 1'',6' 5.25''
898,William Buford,6' 4'',6' 9.5''
899,Jae Crowder,6' 4.75'',6' 9.25''
900,Jared Cunningham,6' 3.5'',6' 6.5''
901,Anthony Davis,6' 9.25'',7' 5.5''
902,Marcus Denmon,6' 2.25'',6' 5''
903,Andre Drummond,6' 9.75'',7' 6.25''
904,Kim English,6' 4.5'',6' 6.5''
905,Festus Ezeli,6' 9.75'',7' 5.75''
906,Drew Gordon,6' 8'',6' 11.5''
907,Draymond Green,6' 5.75'',7' 1.25''
908,JaMychal Green,6' 8'',7' 2.25''
909,Maurice Harkless,6' 7.25'',7' 0''
910,John Henson,6' 9'',7' 5''
911,Tu Holloway,5' 10.5'',6' 5.5''
912,Robbie Hummel,6' 7.25'',6' 8.5''
913,Bernard James,6' 8.75'',7' 3''
914,John Jenkins,6' 3.25'',6' 8.5''
915,Orlando Johnson,6' 3.75'',6' 11.25''
916,Darius Johnson-Odom,6' 1.5'',6' 7''
917,Terrence Jones,6' 8.25'',7' 2.25''
918,Perry Jones,6' 10.25'',7' 1.75''
919,Kevin Jones,6' 6.25'',7' 1.5''
920,Kris Joseph,6' 6'',6' 11''
921,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
922,Jeremy Lamb,6' 4'',6' 11''
923,Doron Lamb,6' 3.25'',6' 6.75''
924,Meyers Leonard,6' 11.75'',7' 3''
925,Damian Lillard,6' 1.75'',6' 7.75''
926,Scott Machado,6' 1'',6' 4''
927,Kendall Marshall,6' 3.25'',6' 5.5''
928,Fab Melo,6' 10.75'',7' 2.5''
929,Khris Middleton,6' 6.75'',6' 10.75''
930,Quincy Miller,6' 8.75'',7' 1.25''
931,Darius Miller,6' 6'',6' 9''
932,Tony Mitchell,6' 5.25'',6' 10''
933,Arnett Moultrie,6' 9.5'',7' 2.25''
934,Kevin Murphy,6' 5'',6' 6.75''
935,Andrew Nicholson,6' 8.5'',7' 4''
936,Kyle O'Quinn,6' 8.5'',7' 4.75''
937,Miles Plumlee,6' 10.5'',7' 0.75''
938,Austin Rivers,6' 3.5'',6' 7.25''
939,Thomas Robinson,6' 7.75'',7' 3.25''
940,Terrence Ross,6' 6'',6' 7.25''
941,Tomas Satoransky,6' 6.5'',6' 7.25''
942,Mike Scott,6' 7.25'',6' 10.75''
943,Henry Sims,6' 10'',7' 4''
944,Jared Sullinger,6' 7.75'',7' 1.25''
945,Jordan Taylor,6' 1'',6' 3''
946,Jeff Taylor,6' 6'',6' 6.25''
947,Tyshawn Taylor,6' 2.75'',6' 6.25''
948,Marquis Teague,6' 1'',6' 7.25''
949,Hollis Thompson,6' 6.75'',6' 9.5''
950,Dion Waiters,6' 2.5'',6' 7.25''
951,Royce White,6' 7'',7' 0''
952,Tony Wroten,6' 4.75'',6' 9''
953,Tyler Zeller,6' 11.25'',7' 0''
954,Keith Benson,6' 10'',7' 3.75''
955,Marshon Brooks,6' 4.25'',7' 1''
956,Alec Burks,6' 5'',6' 10''
957,Jimmy Butler,6' 6'',6' 7.5''
958,Norris Cole,6' 0.25'',6' 2.25''
959,Jon Diebler,6' 5.25'',6' 6''
960,Michael Dunigan,6' 8.5'',7' 3.25''
961,LaceDarius Dunn,6' 3'',6' 6.25''
962,Kenneth Faried,6' 6'',7' 0''
963,James Fredette,6' 0.75'',6' 4.5''
964,Andrew Goudelock,6' 1.25'',6' 4.25''
965,Jordan Hamilton,6' 6.75'',6' 9.5''
966,Justin Harper,6' 8'',6' 11.75''
967,Tobias Harris,6' 6.5'',6' 11''
968,Tyler Honeycutt,6' 6.75'',6' 9''
969,Scotty Hopson,6' 5.75'',6' 10.5''
970,Kyrie Irving,6' 1.75'',6' 4''
971,Rick Jackson,6' 8.25'',7' 2''
972,Charles Jenkins,6' 1.5'',6' 7.5''
973,JaJuan Johnson,6' 9'',7' 2''
974,Cory Joseph,6' 2'',6' 5.5''
975,Enes Kanter,6' 9.75'',7' 1.5''
976,Brandon Knight,6' 1.5'',6' 6.75''
977,Malcolm Lee,6' 4'',6' 9.75''
978,Kawhi Leonard,6' 6'',7' 3''
979,Travis Leslie,6' 3'',6' 10.5''
980,Jon Leuer,6' 10'',7' 0''
981,DeAndre Liggins,6' 5'',6' 11''
982,David Lighty,6' 4.75'',6' 8''
983,Shelvin Mack,6' 1'',6' 7.5''
984,Demetri McCamey,6' 1.75'',6' 6.25''
985,E'Twaun Moore,6' 2.5'',6' 9.5''
986,Markieff Morris,6' 7.75'',6' 10.75''
987,Marcus Morris,6' 7'',6' 10''
988,Darius Morris,6' 3.25'',6' 7.5''
989,Chandler Parsons,6' 8.75'',6' 9.5''
990,Jereme Richmond,6' 6'',6' 10.25''
991,Josh Selby,6' 1.75'',6' 5.25''
992,Iman Shumpert,6' 4.25'',6' 9.5''
993,Kyle Singler,6' 7.5'',6' 10.1''
994,Chris Singleton,6' 7.75'',7' 1''
995,Jamie Skeen,6' 6.5'',7' 1.25''
996,Gregory Smith,6' 8'',7' 2.5''
997,Nolan Smith,6' 1.5'',6' 5.5''
998,Malcolm Thomas,6' 7.5'',7' 0.5''
999,Isaiah Thomas,5' 8.75'',6' 1.75''
1000,Trey Thompkins,6' 8.5'',7' 1''
1001,Tristan Thompson,6' 7.5'',7' 1.25''
1002,Klay Thompson,6' 5.75'',6' 9''
1003,Jeremy Tyler,6' 9'',7' 5''
1004,Nikola Vucevic,6' 10.25'',7' 4.5''
1005,Kemba Walker,5' 11.5'',6' 3.5''
1006,Derrick Williams,6' 7.25'',7' 1.5''
1007,Jordan Williams,6' 7.75'',7' 0.25''
1008,Quincy Acy,6' 6.5'',7' 2.75''
1009,Harrison Barnes,6' 7'',6' 11.25''
1010,Will Barton,6' 5'',6' 9.75''
1011,Bradley Beal,6' 3.25'',6' 8''
1012,J'Covan Brown,6' 1'',6' 5.25''
1013,William Buford,6' 4'',6' 9.5''
1014,Jae Crowder,6' 4.75'',6' 9.25''
1015,Jared Cunningham,6' 3.5'',6' 6.5''
1016,Anthony Davis,6' 9.25'',7' 5.5''
1017,Marcus Denmon,6' 2.25'',6' 5''
1018,Andre Drummond,6' 9.75'',7' 6.25''
1019,Kim English,6' 4.5'',6' 6.5''
1020,Festus Ezeli,6' 9.75'',7' 5.75''
1021,Drew Gordon,6' 8'',6' 11.5''
1022,Draymond Green,6' 5.75'',7' 1.25''
1023,JaMychal Green,6' 8'',7' 2.25''
1024,Maurice Harkless,6' 7.25'',7' 0''
1025,John Henson,6' 9'',7' 5''
1026,Tu Holloway,5' 10.5'',6' 5.5''
1027,Robbie Hummel,6' 7.25'',6' 8.5''
1028,Bernard James,6' 8.75'',7' 3''
1029,John Jenkins,6' 3.25'',6' 8.5''
1030,Orlando Johnson,6' 3.75'',6' 11.25''
1031,Darius Johnson-Odom,6' 1.5'',6' 7''
1032,Terrence Jones,6' 8.25'',7' 2.25''
1033,Perry Jones,6' 10.25'',7' 1.75''
1034,Kevin Jones,6' 6.25'',7' 1.5''
1035,Kris Joseph,6' 6'',6' 11''
1036,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
1037,Jeremy Lamb,6' 4'',6' 11''
1038,Doron Lamb,6' 3.25'',6' 6.75''
1039,Meyers Leonard,6' 11.75'',7' 3''
1040,Damian Lillard,6' 1.75'',6' 7.75''
1041,Scott Machado,6' 1'',6' 4''
1042,Kendall Marshall,6' 3.25'',6' 5.5''
1043,Fab Melo,6' 10.75'',7' 2.5''
1044,Khris Middleton,6' 6.75'',6' 10.75''
1045,Quincy Miller,6' 8.75'',7' 1.25''
1046,Darius Miller,6' 6'',6' 9''
1047,Tony Mitchell,6' 5.25'',6' 10''
1048,Arnett Moultrie,6' 9.5'',7' 2.25''
1049,Kevin Murphy,6' 5'',6' 6.75''
1050,Andrew Nicholson,6' 8.5'',7' 4''
1051,Kyle O'Quinn,6' 8.5'',7' 4.75''
1052,Miles Plumlee,6' 10.5'',7' 0.75''
1053,Austin Rivers,6' 3.5'',6' 7.25''
1054,Thomas Robinson,6' 7.75'',7' 3.25''
1055,Terrence Ross,6' 6'',6' 7.25''
1056,Tomas Satoransky,6' 6.5'',6' 7.25''
1057,Mike Scott,6' 7.25'',6' 10.75''
1058,Henry Sims,6' 10'',7' 4''
1059,Jared Sullinger,6' 7.75'',7' 1.25''
1060,Jordan Taylor,6' 1'',6' 3''
1061,Jeff Taylor,6' 6'',6' 6.25''
1062,Tyshawn Taylor,6' 2.75'',6' 6.25''
1063,Marquis Teague,6' 1'',6' 7.25''
1064,Hollis Thompson,6' 6.75'',6' 9.5''
1065,Dion Waiters,6' 2.5'',6' 7.25''
1066,Royce White,6' 7'',7' 0''
1067,Tony Wroten,6' 4.75'',6' 9''
1068,Tyler Zeller,6' 11.25'',7' 0''
1069,Quincy Acy,6' 6.5'',7' 2.75''
1070,Harrison Barnes,6' 7'',6' 11.25''
1071,Will Barton,6' 5'',6' 9.75''
1072,Bradley Beal,6' 3.25'',6' 8''
1073,J'Covan Brown,6' 1'',6' 5.25''
1074,William Buford,6' 4'',6' 9.5''
1075,Jae Crowder,6' 4.75'',6' 9.25''
1076,Jared Cunningham,6' 3.5'',6' 6.5''
1077,Anthony Davis,6' 9.25'',7' 5.5''
1078,Marcus Denmon,6' 2.25'',6' 5''
1079,Andre Drummond,6' 9.75'',7' 6.25''
1080,Kim English,6' 4.5'',6' 6.5''
1081,Festus Ezeli,6' 9.75'',7' 5.75''
1082,Drew Gordon,6' 8'',6' 11.5''
1083,Draymond Green,6' 5.75'',7' 1.25''
1084,JaMychal Green,6' 8'',7' 2.25''
1085,Maurice Harkless,6' 7.25'',7' 0''
1086,John Henson,6' 9'',7' 5''
1087,Tu Holloway,5' 10.5'',6' 5.5''
1088,Robbie Hummel,6' 7.25'',6' 8.5''
1089,Bernard James,6' 8.75'',7' 3''
1090,John Jenkins,6' 3.25'',6' 8.5''
1091,Orlando Johnson,6' 3.75'',6' 11.25''
1092,Darius Johnson-Odom,6' 1.5'',6' 7''
1093,Terrence Jones,6' 8.25'',7' 2.25''
1094,Perry Jones,6' 10.25'',7' 1.75''
1095,Kevin Jones,6' 6.25'',7' 1.5''
1096,Kris Joseph,6' 6'',6' 11''
1097,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
1098,Jeremy Lamb,6' 4'',6' 11''
1099,Doron Lamb,6' 3.25'',6' 6.75''
1100,Meyers Leonard,6' 11.75'',7' 3''
1101,Damian Lillard,6' 1.75'',6' 7.75''
1102,Scott Machado,6' 1'',6' 4''
1103,Kendall Marshall,6' 3.25'',6' 5.5''
1104,Fab Melo,6' 10.75'',7' 2.5''
1105,Khris Middleton,6' 6.75'',6' 10.75''
1106,Quincy Miller,6' 8.75'',7' 1.25''
1107,Darius Miller,6' 6'',6' 9''
1108,Tony Mitchell,6' 5.25'',6' 10''
1109,Arnett Moultrie,6' 9.5'',7' 2.25''
1110,Kevin Murphy,6' 5'',6' 6.75''
1111,Andrew Nicholson,6' 8.5'',7' 4''
1112,Kyle O'Quinn,6' 8.5'',7' 4.75''
1113,Miles Plumlee,6' 10.5'',7' 0.75''
1114,Austin Rivers,6' 3.5'',6' 7.25''
1115,Thomas Robinson,6' 7.75'',7' 3.25''
1116,Terrence Ross,6' 6'',6' 7.25''
1117,Tomas Satoransky,6' 6.5'',6' 7.25''
1118,Mike Scott,6' 7.25'',6' 10.75''
1119,Henry Sims,6' 10'',7' 4''
1120,Jared Sullinger,6' 7.75'',7' 1.25''
1121,Jordan Taylor,6' 1'',6' 3''
1122,Jeff Taylor,6' 6'',6' 6.25''
1123,Tyshawn Taylor,6' 2.75'',6' 6.25''
1124,Marquis Teague,6' 1'',6' 7.25''
1125,Hollis Thompson,6' 6.75'',6' 9.5''
1126,Dion Waiters,6' 2.5'',6' 7.25''
1127,Royce White,6' 7'',7' 0''
1128,Tony Wroten,6' 4.75'',6' 9''
1129,Tyler Zeller,6' 11.25'',7' 0''
1130,Quincy Acy,6' 6.5'',7' 2.75''
1131,Harrison Barnes,6' 7'',6' 11.25''
1132,Will Barton,6' 5'',6' 9.75''
1133,Bradley Beal,6' 3.25'',6' 8''
1134,J'Covan Brown,6' 1'',6' 5.25''
1135,William Buford,6' 4'',6' 9.5''
1136,Jae Crowder,6' 4.75'',6' 9.25''
1137,Jared Cunningham,6' 3.5'',6' 6.5''
1138,Anthony Davis,6' 9.25'',7' 5.5''
1139,Marcus Denmon,6' 2.25'',6' 5''
1140,Andre Drummond,6' 9.75'',7' 6.25''
1141,Kim English,6' 4.5'',6' 6.5''
1142,Festus Ezeli,6' 9.75'',7' 5.75''
1143,Drew Gordon,6' 8'',6' 11.5''
1144,Draymond Green,6' 5.75'',7' 1.25''
1145,JaMychal Green,6' 8'',7' 2.25''
1146,Maurice Harkless,6' 7.25'',7' 0''
1147,John Henson,6' 9'',7' 5''
1148,Tu Holloway,5' 10.5'',6' 5.5''
1149,Robbie Hummel,6' 7.25'',6' 8.5''
1150,Bernard James,6' 8.75'',7' 3''
1151,John Jenkins,6' 3.25'',6' 8.5''
1152,Orlando Johnson,6' 3.75'',6' 11.25''
1153,Darius Johnson-Odom,6' 1.5'',6' 7''
1154,Terrence Jones,6' 8.25'',7' 2.25''
1155,Perry Jones,6' 10.25'',7' 1.75''
1156,Kevin Jones,6' 6.25'',7' 1.5''
1157,Kris Joseph,6' 6'',6' 11''
1158,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
1159,Jeremy Lamb,6' 4'',6' 11''
1160,Doron Lamb,6' 3.25'',6' 6.75''
1161,Meyers Leonard,6' 11.75'',7' 3''
1162,Damian Lillard,6' 1.75'',6' 7.75''
1163,Scott Machado,6' 1'',6' 4''
1164,Kendall Marshall,6' 3.25'',6' 5.5''
1165,Fab Melo,6' 10.75'',7' 2.5''
1166,Khris Middleton,6' 6.75'',6' 10.75''
1167,Quincy Miller,6' 8.75'',7' 1.25''
1168,Darius Miller,6' 6'',6' 9''
1169,Tony Mitchell,6' 5.25'',6' 10''
1170,Arnett Moultrie,6' 9.5'',7' 2.25''
1171,Kevin Murphy,6' 5'',6' 6.75''
1172,Andrew Nicholson,6' 8.5'',7' 4''
1173,Kyle O'Quinn,6' 8.5'',7' 4.75''
1174,Miles Plumlee,6' 10.5'',7' 0.75''
1175,Austin Rivers,6' 3.5'',6' 7.25''
1176,Thomas Robinson,6' 7.75'',7' 3.25''
1177,Terrence Ross,6' 6'',6' 7.25''
1178,Tomas Satoransky,6' 6.5'',6' 7.25''
1179,Mike Scott,6' 7.25'',6' 10.75''
1180,Henry Sims,6' 10'',7' 4''
1181,Jared Sullinger,6' 7.75'',7' 1.25''
1182,Jordan Taylor,6' 1'',6' 3''
1183,Jeff Taylor,6' 6'',6' 6.25''
1184,Tyshawn Taylor,6' 2.75'',6' 6.25''
1185,Marquis Teague,6' 1'',6' 7.25''
1186,Hollis Thompson,6' 6.75'',6' 9.5''
1187,Dion Waiters,6' 2.5'',6' 7.25''
1188,Royce White,6' 7'',7' 0''
1189,Tony Wroten,6' 4.75'',6' 9''
1190,Tyler Zeller,6' 11.25'',7' 0''
1191,Quincy Acy,6' 6.5'',7' 2.75''
1192,Harrison Barnes,6' 7'',6' 11.25''
1193,Will Barton,6' 5'',6' 9.75''
1194,Bradley Beal,6' 3.25'',6' 8''
1195,J'Covan Brown,6' 1'',6' 5.25''
1196,William Buford,6' 4'',6' 9.5''
1197,Jae Crowder,6' 4.75'',6' 9.25''
1198,Jared Cunningham,6' 3.5'',6' 6.5''
1199,Anthony Davis,6' 9.25'',7' 5.5''
1200,Marcus Denmon,6' 2.25'',6' 5''
1201,Andre Drummond,6' 9.75'',7' 6.25''
1202,Kim English,6' 4.5'',6' 6.5''
1203,Festus Ezeli,6' 9.75'',7' 5.75''
1204,Drew Gordon,6' 8'',6' 11.5''
1205,Draymond Green,6' 5.75'',7' 1.25''
1206,JaMychal Green,6' 8'',7' 2.25''
1207,Maurice Harkless,6' 7.25'',7' 0''
1208,John Henson,6' 9'',7' 5''
1209,Tu Holloway,5' 10.5'',6' 5.5''
1210,Robbie Hummel,6' 7.25'',6' 8.5''
1211,Bernard James,6' 8.75'',7' 3''
1212,John Jenkins,6' 3.25'',6' 8.5''
1213,Orlando Johnson,6' 3.75'',6' 11.25''
1214,Darius Johnson-Odom,6' 1.5'',6' 7''
1215,Terrence Jones,6' 8.25'',7' 2.25''
1216,Perry Jones,6' 10.25'',7' 1.75''
1217,Kevin Jones,6' 6.25'',7' 1.5''
1218,Kris Joseph,6' 6'',6' 11''
1219,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
1220,Jeremy Lamb,6' 4'',6' 11''
1221,Doron Lamb,6' 3.25'',6' 6.75''
1222,Meyers Leonard,6' 11.75'',7' 3''
1223,Damian Lillard,6' 1.75'',6' 7.75''
1224,Scott Machado,6' 1'',6' 4''
1225,Kendall Marshall,6' 3.25'',6' 5.5''
1226,Fab Melo,6' 10.75'',7' 2.5''
1227,Khris Middleton,6' 6.75'',6' 10.75''
1228,Quincy Miller,6' 8.75'',7' 1.25''
1229,Darius Miller,6' 6'',6' 9''
1230,Tony Mitchell,6' 5.25'',6' 10''
1231,Arnett Moultrie,6' 9.5'',7' 2.25''
1232,Kevin Murphy,6' 5'',6' 6.75''
1233,Andrew Nicholson,6' 8.5'',7' 4''
1234,Kyle O'Quinn,6' 8.5'',7' 4.75''
1235,Miles Plumlee,6' 10.5'',7' 0.75''
1236,Austin Rivers,6' 3.5'',6' 7.25''
1237,Thomas Robinson,6' 7.75'',7' 3.25''
1238,Terrence Ross,6' 6'',6' 7.25''
1239,Tomas Satoransky,6' 6.5'',6' 7.25''
1240,Mike Scott,6' 7.25'',6' 10.75''
1241,Henry Sims,6' 10'',7' 4''
1242,Jared Sullinger,6' 7.75'',7' 1.25''
1243,Jordan Taylor,6' 1'',6' 3''
1244,Jeff Taylor,6' 6'',6' 6.25''
1245,Tyshawn Taylor,6' 2.75'',6' 6.25''
1246,Marquis Teague,6' 1'',6' 7.25''
1247,Hollis Thompson,6' 6.75'',6' 9.5''
1248,Dion Waiters,6' 2.5'',6' 7.25''
1249,Royce White,6' 7'',7' 0''
1250,Tony Wroten,6' 4.75'',6' 9''
1251,Tyler Zeller,6' 11.25'',7' 0''
1252,Quincy Acy,6' 6.5'',7' 2.75''
1253,Harrison Barnes,6' 7'',6' 11.25''
1254,Will Barton,6' 5'',6' 9.75''
1255,Bradley Beal,6' 3.25'',6' 8''
1256,J'Covan Brown,6' 1'',6' 5.25''
1257,William Buford,6' 4'',6' 9.5''
1258,Jae Crowder,6' 4.75'',6' 9.25''
1259,Jared Cunningham,6' 3.5'',6' 6.5''
1260,Anthony Davis,6' 9.25'',7' 5.5''
1261,Marcus Denmon,6' 2.25'',6' 5''
1262,Andre Drummond,6' 9.75'',7' 6.25''
1263,Kim English,6' 4.5'',6' 6.5''
1264,Festus Ezeli,6' 9.75'',7' 5.75''
1265,Drew Gordon,6' 8'',6' 11.5''
1266,Draymond Green,6' 5.75'',7' 1.25''
1267,JaMychal Green,6' 8'',7' 2.25''
1268,Maurice Harkless,6' 7.25'',7' 0''
1269,John Henson,6' 9'',7' 5''
