Player,Team,G,MP,TS%,MPG
JaQuori McLaughlin,DAL,4.0,11.0,0.0,2.75
JaVale McGee,PHO,74.0,1172.0,0.651,15.837837837837839
Jabari Parker,BOS,12.0,112.0,0.632,9.333333333333334
Jaden McDaniels,MIN,70.0,1803.0,0.553,25.757142857142856
Jaden Springer,PHI,2.0,6.0,1.0,3.0
Jae Crowder,PHO,67.0,1886.0,0.541,28.149253731343283
Jae'Sean Tate,HOU,78.0,2056.0,0.567,26.358974358974358
Jahmi'us Ramsey,SAC,19.0,134.0,0.468,7.052631578947368
Jake Layman,MIN,34.0,231.0,0.5,6.794117647058823
Jakob Poeltl,SAS,68.0,1970.0,0.613,28.970588235294116
Jalen Brunson,DAL,79.0,2524.0,0.583,31.949367088607595
Jalen Green,HOU,67.0,2138.0,0.547,31.91044776119403
Jalen Johnson,ATL,22.0,120.0,0.59,5.454545454545454
Jalen McDaniels,CHO,55.0,895.0,0.595,16.272727272727273
Jalen Smith,2TM,51.0,925.0,0.595,18.137254901960784
Jalen Suggs,ORL,48.0,1307.0,0.455,27.229166666666668
James Bouknight,CHO,31.0,304.0,0.459,9.806451612903226
James Ennis III,3TM,7.0,56.0,0.553,8.0
James Harden,2TM,65.0,2419.0,0.583,37.215384615384615
James Johnson,BRK,62.0,1191.0,0.513,19.20967741935484
Jamorko Pickett,DET,13.0,176.0,0.491,13.538461538461538
Jared Butler,UTA,42.0,360.0,0.509,8.571428571428571
Jared Harper,NOP,5.0,43.0,0.666,8.6
Jaren Jackson Jr.,MEM,78.0,2126.0,0.535,27.256410256410255
Jarred Vanderbilt,MIN,74.0,1880.0,0.612,25.405405405405407
Jarrett Allen,CLE,56.0,1809.0,0.698,32.30357142857143
Jarrett Culver,MEM,37.0,338.0,0.433,9.135135135135135
Jarron Cumberland,POR,3.0,12.0,0.5,4.0
Javonte Green,CHI,65.0,1519.0,0.637,23.369230769230768
Javonte Smart,2TM,17.0,200.0,0.407,11.764705882352942
Jaxson Hayes,NOP,70.0,1398.0,0.68,19.97142857142857
Jay Huff,LAL,4.0,20.0,0.0,5.0
Jay Scrubb,LAC,18.0,121.0,0.486,6.722222222222222
Jaylen Brown,BOS,66.0,2220.0,0.574,33.63636363636363
Jaylen Hoard,OKC,7.0,240.0,0.536,34.285714285714285
Jaylen Morris,SAS,3.0,16.0,0.129,5.333333333333333
Jaylen Nowell,MIN,62.0,975.0,0.581,15.725806451612904
Jaysean Paige,DET,1.0,7.0,0.0,7.0
Jayson Tatum,BOS,76.0,2731.0,0.578,35.93421052631579
Jeff Dowtin Jr.,3TM,9.0,108.0,0.353,12.0
Jeff Green,DEN,75.0,1849.0,0.627,24.653333333333332
Jemerrio Jones,LAL,2.0,15.0,0.667,7.5
Jerami Grant,DET,47.0,1500.0,0.556,31.914893617021278
Jeremiah Robinson-Earl,OKC,49.0,1087.0,0.526,22.183673469387756
Jeremy Lamb,2TM,56.0,935.0,0.521,16.696428571428573
