Player,LEBRON,O-LEBRON,D-LEBRON
P.J. Washington,-2.805,-2.555,-0.25
Kevin Porter Jr.,-2.828,-1.818,-1.01
Dennis Smith Jr.,-2.884,-2.354,-0.53
Tyler Herro,-2.884,-0.915,-1.968
Semi Ojeleye,-2.952,-2.125,-0.827
Hamidou Diallo,-2.968,-2.572,-0.396
Cristiano Felicio,-2.982,-1.778,-1.204
Patrick Mccaw,-3.126,-2.495,-0.631
Isaiah Thomas,-3.155,-1.212,-1.943
Frank Jackson,-3.201,-0.751,-2.449
Sekou Doumbouya,-3.295,-2.464,-0.831
Terrance Ferguson,-3.725,-3.179,-0.546
Anfernee Simons,-4.47,-1.649,-2.822
Darius Garland,-4.584,-2.0,-2.584
