Player,LEBRON,D-LEBRON,O-LEBRON
frank ntilikina,-2.115,0.216,-2.331
cj miles,-2.133,-1.014,-1.119
patrick mccaw,-2.136,0.144,-2.28
taurean prince,-2.14,-0.726,-1.414
allen crabbe,-2.14,-0.437,-1.703
austin rivers,-2.159,-1.084,-1.075
timothe luwawu-cabarrot,-2.197,-0.647,-1.549
damion lee,-2.204,-1.18,-1.023
chandler hutchison,-2.217,0.448,-2.665
quinn cook,-2.24,-1.562,-0.677
wayne selden,-2.293,-0.956,-1.336
dillon brooks,-2.317,-0.566,-1.752
bruce brown,-2.321,0.815,-3.136
hamidou diallo,-2.322,-0.766,-1.556
tyrone wallace,-2.412,-0.277,-2.135
darius miller,-2.419,-2.088,-0.331
lance stephenson,-2.497,-1.216,-1.282
ryan anderson,-2.497,-1.084,-1.413
nik stauskas,-2.502,-1.264,-1.238
mike scott,-2.507,-1.246,-1.261
cristiano felicio,-2.541,-1.215,-1.326
wes iwundu,-2.568,-0.035,-2.532
john jenkins,-2.574,-1.64,-0.934
robin lopez,-2.581,-0.968,-1.613
stanley johnson,-2.615,0.06,-2.675
cedi osman,-2.623,-1.213,-1.409
jose calderon,-2.636,-0.337,-2.3
isaiah canaan,-2.658,-1.213,-1.445
jonathon simmons,-2.661,-0.267,-2.394
isaiah briscoe,-2.682,-0.056,-2.626
shelvin mack,-2.737,-1.223,-1.514
ian clark,-2.741,-1.705,-1.036
alex abrines,-2.761,-0.645,-2.116
e'twaun moore,-2.761,-1.57,-1.191
solomon hill,-2.777,-0.777,-2.0
svi mykhailiuk,-2.799,-1.439,-1.361
emmanuel mudiay,-2.811,-1.856,-0.955
elie okobo,-2.914,-0.957,-1.957
jordan clarkson,-2.945,-2.962,0.018
patrick patterson,-2.969,-1.214,-1.754
josh jackson,-2.996,-0.657,-2.339
grayson allen,-3.092,-2.101,-0.991
frank jackson,-3.093,-1.936,-1.158
lance thomas,-3.3,-0.486,-2.813
damyean dotson,-3.318,-1.775,-1.543
abdel nader,-3.364,-0.754,-2.61
jamal crawford,-3.407,-2.698,-0.708
avery bradley,-3.54,-1.295,-2.245
antonio blakeney,-3.541,-1.825,-1.716
collin sexton,-3.633,-2.295,-1.337
allonzo trier,-3.906,-2.198,-1.709
kevin knox ii,-5.356,-2.717,-2.638
