player_name,raptor_total,raptor_defense,raptor_offense
Gorgui Dieng,-4.3,-1.3,-3.0
Troy Daniels,-4.4,-3.9,-0.5
Dragan Bender,-4.4,-1.0,-3.3
De'Aaron Fox,-4.4,-2.0,-2.4
Josh Jackson,-4.5,-1.3,-3.2
Terrance Ferguson,-4.5,-2.6,-1.9
Patrick McCaw,-4.6,-1.3,-3.3
Norman Powell,-4.6,-1.8,-2.8
Matthew Dellavedova,-4.6,-3.1,-1.5
Ben McLemore,-4.8,-2.4,-2.3
Zach Collins,-5.1,-1.6,-3.5
Bismack Biyombo,-5.2,-1.1,-4.1
Joe Johnson,-5.4,-1.6,-3.8
Dennis Smith Jr.,-5.5,-3.3,-2.2
Tony Parker,-5.5,-3.4,-2.1
Emmanuel Mudiay,-5.5,-2.4,-3.0
Jameer Nelson,-5.6,-2.6,-3.0
Paul Zipser,-6.0,-1.4,-4.5
Thon Maker,-6.1,-3.0,-3.1
Semi Ojeleye,-6.3,-1.7,-4.6
Malik Monk,-7.6,-4.9,-2.8
Cristiano Felicio,-9.0,-3.5,-5.5
