,name,height_inches,wingspan_inches,relative
275,Jeff Green,79.0,85.25,6.25
276,Taurean Green,71.0,74.25,3.25
277,Spencer Hawes,82.0,84.5,2.5
278,Brandon Heath,74.0,79.0,5.0
279,Herbert Hill,79.0,86.25,7.25
280,Al Horford,80.0,84.75,4.75
281,Quinton Hosley,77.0,83.25,6.25
282,James Hughes,81.0,87.0,6.0
283,Jeremy Hunt,74.0,80.25,6.25
284,Ekene Ibekwe,80.0,90.0,10.0
285,Dominic James,70.0,74.0,4.0
286,Trey Johnson,75.0,77.0,2.0
287,Rashad Jones-Jennings,78.0,84.0,6.0
288,Jared Jordan,72.0,72.0,0.0
289,Coby Karl,75.0,83.0,8.0
290,Antanas Kavaliauskas,81.0,82.5,1.5
291,Carl Landry,79.0,83.0,4.0
292,Stephane Lasme,77.0,86.0,9.0
293,Acie Law,74.0,78.5,4.5
294,Marko Lekic,81.0,85.0,4.0
295,Ron Lewis,74.0,78.5,4.5
296,Cartier Martin,76.0,82.0,6.0
297,Dominic McGuire,79.0,82.5,3.5
298,Josh McRoberts,80.0,85.0,5.0
299,Sammy Mejia,77.0,83.0,6.0
300,Brad Newley,77.0,80.0,3.0
301,Demetris Nichols,78.0,84.25,6.25
302,Joakim Noah,82.0,85.25,3.25
303,Greg Oden,83.0,88.25,5.25
304,Ivan Radenovic,81.0,83.75,2.75
305,JR Reynolds,72.0,75.25,3.25
306,Chris Richard,79.0,88.5,9.5
307,Dustin Salisbery,75.0,80.0,5.0
308,Blake Schilb,77.0,81.0,4.0
309,Renaldas Seibutis,76.0,80.75,4.75
310,Ramon Sessions,74.0,76.25,2.25
311,Mustafa Shakur,75.0,77.5,2.5
312,Jason Smith,82.75,82.75,0.0
313,DJ Strawberry,75.75,78.5,2.75
314,Rodney Stuckey,75.75,79.25,3.5
315,Curtis Sumpter,78.0,81.5,3.5
316,Yue Sun,79.75,81.0,1.25
317,Jamaal Tatum,71.5,74.5,3.0
318,Reyshawn Terry,78.75,82.0,3.25
319,Al Thornton,77.75,85.0,7.25
320,Anthony Tolliver,79.0,86.5,7.5
321,Ali Traore,80.75,88.0,7.25
322,Kyle Visser,82.0,83.0,1.0
323,Darryl Watkins,80.75,87.0,6.25
324,Major Wingate,80.5,88.0,7.5
325,DaShaun Wood,70.75,72.75,2.0
326,Brandan Wright,80.75,87.75,7.0
327,Julian Wright,78.5,86.25,7.75
328,Avis Wyatt,80.75,85.0,4.25
330,Thaddeus Young,77.75,83.5,5.75
331,Nick Young,77.0,84.0,7.0
332,Quincy Acy,78.5,86.75,8.25
333,Harrison Barnes,79.0,83.25,4.25
334,Will Barton,77.0,81.75,4.75
335,Bradley Beal,75.25,80.0,4.75
336,J'Covan Brown,73.0,77.25,4.25
337,William Buford,76.0,81.5,5.5
338,Jae Crowder,76.75,81.25,4.5
339,Jared Cunningham,75.5,78.5,3.0
340,Anthony Davis,81.25,89.5,8.25
341,Marcus Denmon,74.25,77.0,2.75
342,Andre Drummond,81.75,90.25,8.5
343,Kim English,76.5,78.5,2.0
344,Festus Ezeli,81.75,89.75,8.0
345,Drew Gordon,80.0,83.5,3.5
346,Draymond Green,77.75,85.25,7.5
347,JaMychal Green,80.0,86.25,6.25
348,Maurice Harkless,79.25,84.0,4.75
