the-rank,the-name,block,tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3
246,Walker Kessler,UTA | C,"7'0.25""","7'4.25""",4
247,CJ McCollum,ATL | SG,"6'2.25""","6'6.25""",4
248,Zach LaVine,SAC | SG,"6'4.5""","6'8.25""",3.75
249,Jrue Holiday,POR | PG,"6'3.25""","6'7""",3.75
250,Javon Small,MEM | PG,"6'1""","6'4.75""",3.75
251,Quentin Grimes,PHI | SG,"6'4""","6'7.75""",3.75
252,Tidjane Salaün,CHA | PF,"6'9""","7'0.75""",3.75
253,Kevin McCullar Jr.,NYK | SF,"6'5.25""","6'9""",3.75
254,LeBron James,LAL | PF,"6'8.5""","7'0.25""",3.75
255,Nick Richards,CHI | C,"6'10.5""","7'2.25""",3.75
256,Dalton Knecht,LAL | SF,"6'5.25""","6'9""",3.75
257,Devin Booker,PHX | SG,"6'4.5""","6'8.25""",3.75
258,Lonzo Ball,UTA | PG,"6'5.25""","6'9""",3.75
259,Paul George,PHI | SF,"6'7.75""","6'11.25""",3.5
260,Bryce McGowens,NOP | SG,"6'5.25""","6'8.75""",3.5
261,Paolo Banchero,ORL | PF,"6'9""","7'0.5""",3.5
262,Cam Christie,LAC | SG,"6'4.5""","6'8""",3.5
263,Kevin Love,UTA | PF,"6'7.75""","6'11.25""",3.5
264,Ja Morant,MEM | PG,"6'2.5""","6'6""",3.5
265,DeMar DeRozan,SAC | SF,"6'5.5""","6'9""",3.5
266,Kentavious Caldwell-Pope,MEM | SG,"6'4.5""","6'8""",3.5
267,Anthony Gill,WAS | PF,"6'7.5""","6'11""",3.5
268,Kristaps Porziņģis,GSW | C,"7'2.5""","7'6""",3.5
269,Isaac Okoro,CHI | SF,"6'5""","6'8.5""",3.5
270,Jaime Jaquez Jr.,MIA | SF,"6'6""","6'9.5""",3.5
271,Goga Bitadze,ORL | C,"6'10.5""","7'2""",3.5
272,Nikola Jokić,DEN | C,"6'11.5""","7'3""",3.5
273,Jayson Tatum,BOS | SF,"6'7.5""","6'11""",3.5
274,Cam Thomas,BKN | SG,"6'3""","6'6.5""",3.5
275,Stephon Castle,SAS | SG,"6'5.5""","6'9""",3.5
276,Luka Garza,BOS | C,"6'10""","7'1.5""",3.5
277,VJ Edgecombe,PHI | SG,"6'4""","6'7.5""",3.5
278,Caleb Houstan,ATL | SG,"6'7.5""","6'11""",3.5
279,Jalen Green,PHX | SG,"6'4""","6'7.5""",3.5
280,GG Jackson,MEM | PF,"6'8.25""","6'11.5""",3.25
281,Yves Missi,NOP | C,"6'10.75""","7'2""",3.25
282,Derik Queen,NOP | C,"6'9.25""","7'0.5""",3.25
283,Mark Sears,MIL | PG,"5'10.75""","6'2""",3.25
284,Kyshawn George,WAS | SF,"6'7""","6'10.25""",3.25
285,Jordan Poole,NOP | SG,"6'3.5""","6'6.75""",3.25
286,Klay Thompson,DAL | SG,"6'5.75""","6'9""",3.25
287,John Konchar,UTA | SF,"6'4.75""","6'8""",3.25
288,Georges Niang,MEM | PF,"6'6.75""","6'10""",3.25
289,Jeremy Sochan,SAS | PF,"6'8.5""","6'11.75""",3.25
290,Julian Strawther,DEN | SF,"6'6""","6'9.25""",3.25
291,Tyrese Proctor,CLE | SG,"6'4.25""","6'7.25""",3
292,Tre Jones,CHI | PG,"6'1""","6'4""",3
293,Jamal Murray,DEN | PG,"6'3.5""","6'6.5""",3
294,Payton Pritchard,BOS | PG,"6'1""","6'4""",3
295,Julian Champagnie,SAS | SF,"6'7""","6'10""",3
296,Johni Broome,PHI | C,"6'9.25""","7'0.25""",3
297,Ajay Mitchell,OKC | SG,"6'3.25""","6'6.25""",3
298,Tyrese Haliburton,IND | PG,"6'4.75""","6'7.75""",3
299,Isaiah Livers,PHX | SF,"6'6""","6'9.25""",3
300,Jock Landale,ATL | C,"6'11""","7'2""",3
301,Nick Smith Jr.,LAL | SG,"6'5""","6'8""",3
302,Cameron Johnson,DEN | PF,"6'7""","6'10""",3
303,Day'Ron Sharpe,BKN | C,"6'9""","7'0""",3
304,John Collins,LAC | PF,"6'8.25""","6'11.25""",3
305,Jay Huff,IND | C,"7'1""","7'4""",3
306,Brandon Miller,CHA | SF,"6'9""","6'11.5""",3
307,Dwight Powell,DAL | C,"6'9.5""","7'0.5""",3
308,Chris Paul,TOR | PG,"6'1""","6'4""",3
309,Jalen Brunson,NYK | PG,"6'1""","6'4""",3
310,Craig Porter Jr.,CLE | PG,"6'1""","6'4""",3
311,Seth Curry,GSW | SG,"6'1""","6'4""",3
312,Terrence Shannon Jr.,MIN | SG,"6'5.75""","6'8.75""",3
313,Kasparas Jakučionis,MIA | PG,"6'4.75""","6'7.75""",3
314,Terance Mann,BKN | SF,"6'4.75""","6'7.75""",3
315,Keegan Murray,SAC | PF,"6'8""","6'11""",3
316,Doug McDermott,SAC | SF,"6'6.25""","6'9.25""",3
317,Kam Jones,IND | PG,"6'3.25""","6'6""",2.75
318,Nique Clifford,SAC | SF,"6'5.25""","6'8""",2.75
319,Jake LaRavia,LAL | SF,"6'6.75""","6'9.5""",2.75
320,Malik Monk,SAC | SG,"6'2.25""","6'5""",2.75
321,Jamal Shead,TOR | PG,"6'0.25""","6'3""",2.75
322,Cam Whitmore,WAS | SF,"6'5.75""","6'8.5""",2.75
323,Nikola Jović,MIA | PF,"6'9.5""","7'0.25""",2.75
324,Isaiah Hartenstein,OKC | C,"6'11.5""","7'2.25""",2.75
325,Andrew Nembhard,IND | PG,"6'3""","6'5.75""",2.75
326,Jeremiah Fears,NOP | PG,"6'2.5""","6'5.25""",2.75
327,Landry Shamet,NYK | SG,"6'4""","6'6.75""",2.75
328,Zach Collins,CHI | C,"6'10.25""","7'1""",2.75
329,Ben Sheppard,IND | SG,"6'5.25""","6'7.75""",2.5
330,Ousmane Dieng,MEM | SF,"6'9.5""","7'0""",2.5
331,Sam Hauser,BOS | PF,"6'6.75""","6'9.25""",2.5
332,Tim Hardaway Jr.,DEN | SG,"6'4.5""","6'7""",2.5
333,Jusuf Nurkić,UTA | C,"6'11.5""","7'2""",2.5
334,Trae Young,WAS | PG,"6'0.5""","6'3""",2.5
335,Alperen Sengun,HOU | C,"6'10""","7'0.5""",2.5
336,Jordan Hawkins,NOP | SG,"6'4.25""","6'6.75""",2.5
337,Jaylon Tyson,CLE | SG,"6'5.5""","6'8""",2.5
338,Jonathan Isaac,ORL | PF,"6'10.5""","7'1""",2.5
339,Joe Ingles,MIN | SF,"6'7.75""","6'10.25""",2.5
340,Cole Anthony,PHX | PG,"6'2""","6'4.5""",2.5
341,Jalen Wilson,BKN | SF,"6'5.5""","6'8""",2.5
342,Jakob Poeltl,TOR | C,"7'0.25""","7'2.75""",2.5
343,Jabari Smith Jr.,HOU | PF,"6'10.5""","7'1""",2.5
344,Max Strus,CLE | SG,"6'5""","6'7.5""",2.5
345,Gradey Dick,TOR | SG,"6'6.25""","6'8.75""",2.5
346,Franz Wagner,ORL | SF,"6'9""","6'11.5""",2.5
347,Donte DiVincenzo,MIN | SG,"6'3.5""","6'6""",2.5
348,Isaiah Collier,UTA | PG,"6'2.5""","6'4.75""",2.25
349,Bobi Klintman,DET | SF,"6'8.75""","6'11""",2.25
350,Michael Porter Jr.,BKN | PF,"6'9.75""","7'0""",2.25
351,Kyle Lowry,PHI | PG,"5'11.75""","6'2""",2.25
352,Kyrie Irving,DAL | PG,"6'1.75""","6'4""",2.25
353,Zaccharie Risacher,ATL | SF,"6'8.25""","6'10.5""",2.25
354,Asa Newell,ATL | PF,"6'9""","6'11.25""",2.25
355,Jalen Suggs,ORL | PG,"6'3.5""","6'5.5""",2
356,Walter Clayton Jr.,MEM | PG,"6'2""","6'4""",2
357,Drew Eubanks,SAC | C,"6'9""","6'11""",2
358,Rob Dillingham,CHI | PG,"6'1""","6'3""",2
359,Baylor Scheierman,BOS | SG,"6'6.25""","6'8.25""",2
360,Jose Alvarado,NYK | PG,"5'11""","6'1""",2
361,Cam Spencer,MEM | SG,"6'3""","6'5""",2
362,Ziaire Williams,BKN | SF,"6'8.25""","6'10.25""",2
363,Alex Caruso,OKC | PG,"6'4""","6'6""",2
364,LaMelo Ball,CHA | PG,"6'6""","6'8""",2
365,Jaden McDaniels,MIN | SF,"6'9""","6'11""",2
366,Noa Essengue,CHI | PF,"6'9""","6'11""",2
367,Fred VanVleet,HOU | PG,"6'0""","6'2""",2
368,Egor Dëmin,BKN | PG,"6'8.25""","6'10.25""",2
369,Nikola Topić,OKC | PG,"6'6""","6'8""",2
370,Sion James,CHA | SF,"6'4.5""","6'6.5""",2
