Player,dpm,d_dpm,o_dpm
jonathon simmons,-1.79,-1.32,-0.48
tyler lydon,-1.79,-0.3,-1.5
luke babbitt,-1.8,-0.92,-0.88
dante exum,-1.8,-0.58,-1.22
marquese chriss,-1.8,-0.26,-1.54
deyonta davis,-1.81,-0.16,-1.65
nik stauskas,-1.81,-0.9,-0.91
vince carter,-1.82,0.53,-2.35
greg monroe,-1.83,-0.5,-1.32
patrick mccaw,-1.83,-0.07,-1.76
frank kaminsky,-1.84,-1.22,-0.62
cameron payne,-1.84,-0.73,-1.11
markelle fultz,-1.84,-1.24,-0.6
damien wilkins,-1.86,0.2,-2.06
derrick rose,-1.87,-1.94,0.07
malcolm delaney,-1.87,-0.49,-1.39
jarrett jack,-1.87,-0.69,-1.18
reggie hearn,-1.88,-0.54,-1.33
markel brown,-1.88,-0.29,-1.59
courtney lee,-1.89,-1.43,-0.46
thon maker,-1.89,-0.02,-1.88
marcus paige,-1.92,-1.1,-0.82
jack cooley,-1.92,-0.4,-1.52
edmond sumner,-1.93,-0.4,-1.54
malcolm miller,-1.93,-0.58,-1.35
al jefferson,-1.93,-0.02,-1.91
ian clark,-1.93,-1.4,-0.54
jose calderon,-1.93,-0.75,-1.18
jakarr sampson,-1.94,0.53,-2.47
rajon rondo,-1.95,0.35,-2.29
chris boucher,-1.95,-0.44,-1.5
pj dozier,-1.95,-0.44,-1.52
jalen jones,-1.95,-0.7,-1.24
timothe luwawu-cabarrot,-1.96,-0.81,-1.15
aaron harrison,-1.96,-0.06,-1.9
deandre liggins,-1.96,0.53,-2.48
skal labissiere,-1.97,-0.04,-1.93
antonius cleveland,-1.97,0.46,-2.43
lance stephenson,-1.97,-1.52,-0.45
antonio blakeney,-1.99,-0.78,-1.21
d.j. wilson,-2.0,-0.32,-1.68
tarik black,-2.01,0.3,-2.31
milos teodosic,-2.01,-1.13,-0.88
frank ntilikina,-2.02,0.04,-2.06
dwight buycks,-2.03,-0.99,-1.04
miles plumlee,-2.03,0.94,-2.97
tyler ulis,-2.04,-0.76,-1.27
gary payton ii,-2.04,-0.17,-1.86
nick young,-2.04,-1.37,-0.67
jarell martin,-2.05,0.52,-2.57
georges niang,-2.05,-0.41,-1.64
kyle singler,-2.05,0.05,-2.09
omari johnson,-2.05,-0.86,-1.19
meyers leonard,-2.06,-0.79,-1.27
cheick diallo,-2.07,-0.51,-1.55
isaiah whitehead,-2.07,-0.74,-1.33
bryn forbes,-2.09,-0.94,-1.15
torrey craig,-2.1,-0.32,-1.78
bruno caboclo,-2.1,0.14,-2.24
julyan stone,-2.11,-0.05,-2.06
derrick williams,-2.11,-1.09,-1.02
trey mckinney-jones,-2.11,-0.58,-1.53
yakuba ouattara,-2.12,-0.67,-1.45
justin patton,-2.13,-0.16,-1.97
marcus thorton,-2.14,-0.53,-1.61
xavier munford,-2.15,-0.13,-2.02
zhou qi,-2.16,0.57,-2.74
jacob pullen,-2.16,-0.9,-1.26
jake layman,-2.16,0.03,-2.19
naz mitrou-long,-2.16,-0.8,-1.37
malachi richardson,-2.16,-0.59,-1.57
nate wolters,-2.16,-0.2,-1.96
ivan rabb,-2.18,-0.4,-1.78
gian clavell,-2.18,-0.45,-1.73
caleb swanigan,-2.18,-0.05,-2.13
erik mccree,-2.19,-0.49,-1.71
aaron jackson,-2.19,-0.94,-1.25
d.j. augustin,-2.19,-1.49,-0.71
pau gasol,-2.19,0.56,-2.74
treveon graham,-2.2,-0.47,-1.73
matt williams jr.,-2.2,-0.54,-1.66
davon reed,-2.21,-0.14,-2.07
jordan clarkson,-2.23,-1.53,-0.7
rj hunter,-2.23,-0.46,-1.77
jamel artis,-2.24,-0.79,-1.45
raymond felton,-2.24,-1.12,-1.12
c.j. wilcox,-2.25,-0.4,-1.86
dillon brooks,-2.25,-0.54,-1.71
alex poythress,-2.26,-0.53,-1.73
aj hammons,-2.26,-0.16,-2.09
josh gray,-2.26,-0.47,-1.79
tyrone wallace,-2.26,-0.38,-1.88
scotty hopson,-2.27,-0.28,-1.99
jacob wiley,-2.29,-0.41,-1.88
amile jefferson,-2.3,-0.47,-1.83
charles cooke,-2.34,-0.44,-1.89
troy daniels,-2.35,-1.91,-0.44
alec peters,-2.35,-0.73,-1.62
zach collins,-2.35,-0.35,-2.0
