nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
203477,Isaiah Canaan,2019,PHO/MIN/MIL,PG,20.928,-2.658,-1.445,-1.213,-0.117,Primary Ball Handler,Point of Attack
203482,Kelly Olynyk,2019,MIA,PF,22.94,0.48,-0.549,1.03,3.365,Movement Shooter,Helper
203484,Kentavious Caldwell-Pope,2019,LAL,SG,24.817,-1.186,-0.063,-1.123,1.556,Off Screen Shooter,Chaser
203486,Mason Plumlee,2019,DEN,C,21.107,1.201,-0.351,1.552,4.029,Post Scorer,Mobile Big
203487,Michael Carter-Williams,2019,HOU/ORL,PG,13.278,0.942,0.476,0.466,0.803,Primary Ball Handler,Point of Attack
203488,Mike Muscala,2019,PHI/LAL,PF,20.404,-1.03,-1.256,0.226,1.132,Movement Shooter,Helper
203490,Otto Porter Jr.,2019,WAS/CHI,SF,30.067,2.213,0.619,1.595,5.026,Movement Shooter,Helper
203493,Reggie Bullock Jr.,2019,DET/LAL,SG,29.824,-1.04,-0.563,-0.477,1.617,Off Screen Shooter,Wing Stopper
203496,Robert Covington,2019,PHI/MIN,SF,34.36,2.049,-0.45,2.5,3.462,Movement Shooter,Wing Stopper
203497,Rudy Gobert,2019,UTA,C,31.812,4.682,1.173,3.509,11.667,Roll + Cut Big,Anchor Big
203500,Steven Adams,2019,OKC,C,33.368,1.506,0.531,0.976,6.746,Post Scorer,Mobile Big
203501,Tim Hardaway Jr.,2019,NYK/DAL,SG,31.641,-0.228,0.366,-0.594,2.863,Off Screen Shooter,Chaser
203503,Tony Snell,2019,MIL,SF,17.617,-1.127,-0.598,-0.529,1.047,Movement Shooter,Low Activity
203504,Trey Burke,2019,NYK/DAL,PG,19.388,-0.685,0.916,-1.601,1.228,Slasher,Point of Attack
203506,Victor Oladipo,2019,IND,SG,31.853,2.023,1.326,0.697,3.282,Shot Creator,Wing Stopper
203507,Giannis Antetokounmpo,2019,MIL,PF,32.755,7.44,4.331,3.109,14.377,Shot Creator,Helper
203516,James Ennis Iii,2019,HOU/PHI,SF,21.199,-1.357,-0.972,-0.385,0.804,Stationary Shooter,Chaser
203518,Alex Abrines,2019,OKC,SG,18.974,-2.761,-2.116,-0.645,-0.148,Movement Shooter,Low Activity
203521,Matthew Dellavedova,2019,MIL/CLE,PG,16.92,-1.352,-0.443,-0.909,0.533,Primary Ball Handler,Point of Attack
203524,Solomon Hill,2019,NOP,SF,19.966,-2.777,-2,-0.777,-0.23,Stationary Shooter,Wing Stopper
203526,Raul Neto,2019,UTA,PG,12.8,-0.909,-0.062,-0.848,0.448,Secondary Ball Handler,Point of Attack
203546,Ian Clark,2019,NOP,SG,16.209,-2.741,-1.036,-1.705,-0.233,Off Screen Shooter,Chaser
203552,Seth Curry,2019,POR,SG,18.908,-1.329,-0.779,-0.55,0.94,Secondary Ball Handler,Point of Attack
203584,Troy Daniels,2019,PHO,SG,14.897,-1.751,-0.473,-1.279,0.302,Off Screen Shooter,Low Activity
203585,Rodney Mcgruder,2019,MIA,SG,23.48,-1.574,-1.138,-0.436,0.794,Movement Shooter,Point of Attack
203613,Jonathon Simmons,2019,ORL/PHI,SG,19.003,-2.661,-2.394,-0.267,-0.2,Secondary Ball Handler,Wing Stopper
203894,Shabazz Napier,2019,BRK,PG,17.55,1.252,1.331,-0.08,2.321,Shot Creator,Point of Attack
203895,Jordan Mcrae,2019,WAS,SG,12.326,-0.933,-0.458,-0.475,0.309,Secondary Ball Handler,Low Activity
203897,Zach Lavine,2019,CHI,SG,34.459,-0.466,0.764,-1.23,2.684,Shot Creator,Chaser
203901,Elfrid Payton,2019,NOP,PG,29.757,0.267,0.184,0.083,2.146,Slasher,Point of Attack
203903,Jordan Clarkson,2019,CLE,SG,27.339,-2.945,0.018,-2.962,-0.817,Shot Creator,Low Activity
203914,Gary Harris,2019,DEN,SG,28.759,-0.9,-0.15,-0.75,1.56,Movement Shooter,Wing Stopper
203915,Spencer Dinwiddie,2019,BRK,PG,28.148,-0.071,1.224,-1.295,2.861,Shot Creator,Wing Stopper
203917,Nik Stauskas,2019,POR/CLE,SG,14.921,-2.502,-1.238,-1.264,-0.088,Off Screen Shooter,Low Activity
203918,Rodney Hood,2019,CLE/POR,SG,26.285,-0.425,0.151,-0.576,2.39,Shot Creator,Chaser
203920,Khem Birch,2019,ORL,C,12.856,0.712,-0.506,1.218,1.291,Roll + Cut Big,Anchor Big
203922,Glenn Robinson Iii,2019,DET,SF,12.98,-1.749,-2.259,0.51,0.243,Stationary Shooter,Helper
203924,Jerami Grant,2019,OKC,PF,32.655,1.155,-0.306,1.461,6.004,Stretch Big,Helper
203925,Joe Harris,2019,BRK,SG,30.177,-0.193,-0.108,-0.085,3.246,Off Screen Shooter,Chaser
203926,Doug Mcdermott,2019,IND,SF,17.397,-1.998,-1.096,-0.902,0.318,Off Screen Shooter,Low Activity
203932,Aaron Gordon,2019,ORL,PF,33.751,0.273,-0.589,0.862,4.529,Versatile Big,Wing Stopper
203933,T.J. Warren,2019,PHO,SF,31.35,-1.081,-0.633,-0.448,1.123,Slasher,Wing Stopper
203935,Marcus Smart,2019,BOS,SG,27.497,0.884,-0.319,1.202,4.665,Primary Ball Handler,Wing Stopper
203937,Kyle Anderson,2019,MEM,SF,29.802,-1.087,-2.019,0.932,1.063,Roll + Cut Big,Wing Stopper
203939,Dwight Powell,2019,DAL,C,21.59,1.648,1.123,0.526,4.355,Roll + Cut Big,Anchor Big
203943,Noah Vonleh,2019,NYK,PF,25.32,-0.025,-1.706,1.681,2.626,Versatile Big,Helper
203944,Julius Randle,2019,NOP,PF,30.572,0.434,1.23,-0.797,4.075,Shot Creator,Helper
203952,Andrew Wiggins,2019,MIN,SF,34.833,-1.725,-0.162,-1.564,1.053,Shot Creator,Wing Stopper
203953,Jabari Parker,2019,CHI/WAS,PF,26.942,-1.987,-1.333,-0.654,0.422,Shot Creator,Helper
203954,Joel Embiid,2019,PHI,C,33.661,4.073,2.286,1.787,8.956,Post Scorer,Anchor Big
203957,Danté Exum,2019,UTA,PG,15.811,-0.797,-0.34,-0.457,0.677,Slasher,Point of Attack
203967,Dario Šarić,2019,PHI/MIN,PF,24.82,-0.666,-0.033,-0.633,2.222,Stretch Big,Helper
203991,Clint Capela,2019,HOU,C,33.564,1.769,1.059,0.71,6.066,Roll + Cut Big,Mobile Big
203992,Bogdan Bogdanović,2019,SAC,SG,27.816,-0.863,0.01,-0.873,1.9,Secondary Ball Handler,Chaser
203994,Jusuf Nurkić,2019,POR,C,27.413,3.36,1.262,2.098,7.331,Post Scorer,Anchor Big
203998,Bruno Caboclo,2019,MEM,PF,23.52,-0.633,-0.796,0.163,0.901,Movement Shooter,Helper
203999,Nikola Jokić,2019,DEN,C,31.299,4.577,3.528,1.049,11.18,Post Scorer,Mobile Big
204020,Tyler Johnson,2019,MIA/PHO,PG,26.825,-1.146,-0.65,-0.497,1.209,Movement Shooter,Point of Attack
204025,Tim Frazier,2019,NOP/MIL,PG,18.977,-1.53,-0.815,-0.715,0.606,Primary Ball Handler,Point of Attack
